1879	5
2403	6
2514	9
3749	6
2843	3
3180	7
3547	10
1828	10
3560	3
2049	8
3979	10
3769	5
2914	6
1453	6
1385	5
2419	5
2429	5
2160	4
3881	7
2600	5
2522	5
1538	7
3463	9
3382	6
3934	8
2890	7
3219	7
3984	10
3672	7
3957	7
3576	8
1393	5
2887	9
3130	3
1920	4
2011	3
1154	9
3850	4
1412	6
2240	4
3969	4
3776	7
2578	5
3929	10
3903	3
1412	6
1745	7
3263	3
1821	7
3302	9
3317	9
2684	9
3023	5
1459	5
3852	5
1453	4
1023	6
3176	7
3020	8
2500	7
1254	3
3280	10
3102	7
2845	5
2853	4
1850	10
2977	5
2075	5
2863	4
3229	5
3561	10
1152	6
2120	3
3797	8
3008	8
1664	6
3652	8
2825	7
2750	8
1426	9
3816	8
3640	10
3495	10
2061	10
3979	6
1802	7
3300	5
3381	10
1421	8
2663	5
1931	10
2147	7
3135	3
1929	4
2232	7
3934	8
3965	6
1876	5
2461	8
1919	6
2923	9
2886	6
2099	4
2659	10
1818	10
1925	5
1116	10
1189	4
1326	7
1810	5
1453	8
3814	5
2717	10
3823	4
3578	6
3322	9
2486	8
1899	7
2872	9
1622	5
3074	10
3037	7
3682	4
3351	3
1803	4
2777	8
2750	9
1424	10
3836	9
1179	10
3384	9
1536	8
1405	3
2641	10
3110	3
3228	9
3062	10
2952	3
2109	6
3428	5
1231	9
3845	4
2403	6
2881	10
1751	3
2722	8
3643	3
3025	5
1527	9
3156	9
2632	6
1628	3
3550	7
1485	7
1200	9
3378	9
3624	7
2449	3
2000	9
3073	8
3688	6
2019	3
2164	6
2201	3
3981	6
3292	10
1447	8
2254	8
3959	10
1814	4
1558	4
2795	3
2905	8
2990	7
1270	8
2579	9
1674	8
3936	3
1742	7
3378	8
1781	7
1616	4
3935	7
3932	3
2283	8
1279	9
1909	9
1936	6
3332	4
1758	3
3131	8
3525	5
3364	7
3838	10
3566	8
1376	7
2086	9
3065	6
2594	3
1708	9
2046	8
3114	10
3193	6
1509	6
1545	7
3691	3
2940	5
1615	7
2183	7
2811	9
3528	7
1092	10
3848	3
1412	6
3674	3
1344	10
2234	6
1052	5
2070	5
2900	10
1664	9
2006	5
1657	7
1743	7
3944	3
3776	6
3847	8
1972	7
2761	6
3171	5
3859	10
3946	5
1318	9
2006	3
1325	8
2795	10
3987	7
2367	5
3566	8
1434	6
2109	7
2850	3
2811	6
